Enkät,Enkätkategori,Enkätkategori.1,Kursens ämnesinnehåll har gett mig möjlighet att uppnå kursens lärandemål.,"Kursens olika undervisnings- och arbetsformer har varit relevanta i relation till kursens lärandemål. Till undervisnings- och arbetsformer räknas till exempel föreläsningar, seminarier, laborationer, basgrupper, handledning, projekt och lektioner.",Kursens examinerande moment har varit relevanta i relation till kursens lärandemål.,Kursens pedagogiska genomförande har varit till stöd för mitt lärande.,"Anser du att kursens innehåll, genomförande och examination stämmer med kursplanen?",Vilket helhetsbetyg ger du kursen?,course_code
"Arbete, hälsa och välfärdssystem (Samläsning) (8FA283, 8MM320 2020-10-21 Lin 1268927)",2020,HT,5.0,5.0,5.0,5.0,5.0,5.0,8FA283
"Arbete, hälsa och välfärdssystem (Samläsning) (8FA283, 8MM320 2020-10-21 Lin 1268927)",2020,HT,5.0,5.0,5.0,5.0,5.0,5.0,8MM320
Arbets- och organisationspsykologi 1 - Grunder och teorier (735G63 2021-01-18 Lin 934538),2020,HT,3.5,3.25,3.75,2.5,3.67,3.0,735G63
Arbets- och organisationspsykologi 2 - Fördjupad tillämpning (735A30 2020-11-16 Lin 1353822),2020,HT,2.75,2.64,3.12,2.52,3.0,2.4,735A30
Arbets- och organisationspsykologi 3 - Psykologens roll i samhället (735A31 2021-01-18 Lin 1353831),2020,HT,4.26,3.8,4.26,3.7,4.25,3.85,735A31
Arbetsgivarvarumärke och marknadsföring (723G86 2020-06-01 Lin 831395),2020,VT,4.4,3.87,4.43,3.93,4.29,4.07,723G86
Arbetsplatsförlagd utbildning (759G52 2020-04-27 Lin 831348),2020,VT,3.76,3.71,3.76,3.05,3.74,3.43,759G52
Arbetsplatsförlagd utbildning (APU) med fokus på strategiskt HR-arbete (759A27 2020-10-26 Lin 1350681),2020,HT,4.33,4.33,4.33,4.83,4.67,4.5,759A27
Arbetsplatsförlagt grafiskt designprojekt (TNGD35 2020-06-01 Nor 989639),2020,VT,4.75,5.0,4.2,4.0,4.75,4.8,TNGD35
Arbetsrätt (747G48 2020-11-23 Lin 934000),2020,HT,3.76,3.73,4.08,3.44,4.13,3.5,747G48
Arbetsrätt (747G49 2020-10-26 Lin 934026),2020,HT,3.97,3.95,4.21,3.38,4.32,3.95,747G49
"Arbetsrätt, grundkurs (747G41 2020-07-06 Lin 932042)",2020,VT,4.0,3.67,3.86,3.33,4.12,3.89,747G41
Arbetsterapi inom arbetslivsinriktad rehabilitering (8FA102 2021-01-11 Nor 936400),2020,HT,5.0,4.5,5.0,4.0,4.5,4.0,8FA102
Arbetsterapi inom arbetslivsinriktad rehabilitering (8MMA80 2021-01-09 Nor 937620),2020,HT,4.67,5.0,5.0,4.67,4.67,4.67,8MMA80
Arbetsterapi vid sjukdomar och hälsoproblem - I (8ATG34 2020-06-01 Nor 937719),2020,VT,4.27,3.36,4.0,2.82,4.0,3.82,8ATG34
Arbetsterapi vid sjukdomar och hälsoproblem - I (8ATG34 2021-01-09 Nor 937717),2020,HT,3.92,4.0,4.15,3.31,4.23,3.54,8ATG34
Arbetsterapi vid sjukdomar och hälsoproblem - I (VFU) (8ATG34 2020-02-03 Nor 937719),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8ATG34
Arbetsterapi vid sjukdomar och hälsoproblem - I (VFU) (8ATG34 2020-09-14 Nor 937717),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8ATG34
Arbetsterapi vid sjukdomar och hälsoproblem - II (8ATG44 2020-06-01 Nor 937974),2020,VT,4.33,4.0,4.17,3.75,4.42,3.92,8ATG44
Arbetsterapi vid sjukdomar och hälsoproblem - II (8ATG44 2021-01-09 Nor 937721),2020,HT,4.0,3.92,4.17,3.17,4.17,3.67,8ATG44
Arbetsterapi vid sjukdomar och hälsoproblem - II (VFU) (8ATG44 2020-02-03 Nor 937974),2020,VT,0.0,0.0,0.0,0.0,0.0,0.0,8ATG44
Arbetsterapi vid sjukdomar och hälsoproblem - II (VFU) (8ATG44 2020-09-14 Nor 937721),2020,HT,0.0,0.0,0.0,0.0,0.0,0.0,8ATG44
"Arbetsterapi, aktivitet och hälsa (8ATG12 2020-06-01 Nor 937504)",2020,VT,4.07,3.73,3.53,3.73,4.0,3.73,8ATG12
"Arbetsterapi, aktivitet och hälsa (8ATG12 2021-01-09 Nor 937502)",2020,HT,4.62,4.35,4.65,3.96,4.54,4.15,8ATG12
Are we sisters after all? Gender and postcolonialism (757G26 2020-10-19 Lin 1194156),2020,HT,3.71,4.43,4.0,3.43,4.29,4.14,757G26
Are we sisters after all? Gender and postcolonialism (757G26 2020-10-19 Lin 1194157),2020,HT,5.0,5.0,5.0,5.0,5.0,5.0,757G26
